HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1039620,1,71,6.000,3,-122.091,37.385
1039620,1,71,5.000,14,-121.914,37.238
1039620,1,71,5.000,15,-121.994,37.323
1039620,1,71,5.000,17,-122.015,37.329
1039620,1,71,5.000,19,-122.091,37.385
1039620,2,69,6.000,3,-122.091,37.385
1039620,2,69,5.000,14,-121.914,37.239
1039620,2,69,5.000,15,-121.994,37.323
1039620,2,69,5.000,17,-122.015,37.328
1039620,2,69,5.000,19,-122.091,37.385
1041076,1,75,6.000,3,-122.232,37.453
1041076,1,75,5.000,9,-122.224,37.490
1041076,1,75,5.000,11,-122.214,37.487
1041076,1,75,5.000,12,-122.232,37.452
1041076,2,70,6.000,3,-122.232,37.452
1041076,2,70,5.000,9,-122.224,37.490
1041076,2,70,5.000,11,-122.214,37.488
1041076,2,70,5.000,12,-122.232,37.453
1047092,1,50,6.000,3,-122.281,37.775
1047092,1,50,5.000,10,-122.251,37.757
1047092,1,50,5.000,14,-122.281,37.775
1047092,2,51,6.000,3,-122.282,37.776
1050385,1,45,6.000,3,-122.253,37.538
1050385,1,45,5.000,7,-122.266,37.496
1050385,1,45,5.000,8,-122.252,37.538
1050385,1,45,5.000,14,-122.265,37.495
1050385,1,45,5.000,15,-122.252,37.537
1050385,2,45,6.000,3,-122.252,37.538
1050385,3,14,6.000,3,-77.036,38.896
1050385,4,10,6.000,3,-122.252,37.538
1050385,4,10,5.000,7,-122.266,37.495
1050385,4,10,5.000,15,-122.252,37.537
1051388,1,49,6.000,3,-122.446,37.768
1051388,1,49,5.000,8,-122.456,37.789
1051388,1,49,5.000,8,-122.401,37.790
1051388,1,49,3.000,8,-122.402,37.791
1051388,1,49,3.000,9,-122.401,37.790
1051388,1,49,3.000,11,-122.404,37.791
1051388,1,49,1.000,13,-122.450,37.767
1051388,1,49,3.000,13,-122.446,37.768
1051388,1,49,3.000,13,-122.445,37.767
1051388,2,48,6.000,3,-122.445,37.768
1051388,2,48,5.000,8,-122.456,37.789
1051388,2,48,5.000,8,-122.402,37.790
1051388,2,48,5.000,15,-122.456,37.789
1051388,2,48,5.000,15,-122.445,37.768
1051388,2,48,5.000,17,-122.476,37.787
1051388,2,48,5.000,17,-122.477,37.766
1051388,2,48,5.000,18,-122.445,37.767
1051388,2,48,5.000,18,-122.399,37.797
1051388,2,48,5.000,22,-122.445,37.768
1051388,3,10,6.000,3,-122.446,37.768
1051388,3,10,5.000,8,-122.456,37.789
1051388,3,10,5.000,15,-122.446,37.767
1064644,1,42,6.000,3,-122.485,37.692
1064644,1,42,5.000,8,-122.431,37.791
1064644,1,42,5.000,17,-122.485,37.702
1064644,1,42,5.000,18,-122.485,37.693
1064644,1,42,5.000,20,-122.423,37.625
1064644,1,42,5.000,20,-122.413,37.630
1064644,1,42,5.000,21,-122.399,37.746
1064644,1,42,5.000,21,-122.484,37.693
1064644,2,44,6.000,3,-122.485,37.693
1064644,2,44,5.000,9,-122.399,37.631
1064644,2,44,5.000,20,-122.262,37.509
1064644,2,44,5.000,2,-122.484,37.693
1064644,3,15,6.000,3,-122.485,37.693
1064644,3,15,5.000,8,-122.406,37.610
1064644,3,15,5.000,14,-122.365,37.584
1064644,3,15,5.000,15,-122.485,37.693
1064644,3,15,3.000,16,-122.490,37.692
1064644,3,15,3.000,18,-122.485,37.693
1064644,3,15,5.000,20,-122.422,37.624
1064644,3,15,5.000,20,-122.413,37.631
1064644,3,15,5.000,21,-122.399,37.746
1064644,3,15,5.000,21,-122.484,37.693
1065239,1,73,6.000,3,-122.085,37.650
1065239,1,73,5.000,13,-122.091,37.649
1065239,1,73,5.000,13,-122.085,37.650
1065239,2,73,6.000,3,-122.085,37.650
1065239,2,73,5.000,8,-122.152,37.725
1065239,2,73,5.000,11,-122.085,37.649
1065239,2,73,5.000,14,-122.118,37.664
1065239,2,73,5.000,15,-122.085,37.650
1065239,3,48,6.000,3,-122.085,37.650
1088852,1,41,6.000,3,-122.013,37.916
1088852,1,41,5.000,13,-122.016,37.927
1088852,1,41,5.000,13,-122.013,37.915
1088852,2,42,6.000,3,-122.013,37.916
1088852,2,42,5.000,7,-122.036,37.913
1088852,2,42,5.000,8,-122.012,37.916
1088852,2,42,5.000,9,-122.067,37.903
1088852,2,42,5.000,17,-122.013,37.916
1088852,2,42,5.000,18,-122.040,37.928
1088852,2,42,5.000,19,-122.013,37.915
1088852,3,11,6.000,3,-122.013,37.915
1088852,3,11,3.000,7,-122.021,37.918
1088852,3,11,3.000,15,-122.013,37.916
1088852,3,11,5.000,18,-122.040,37.928
1088852,3,11,5.000,19,-122.012,37.916
1088852,4,9,6.000,3,-122.012,37.915
1088852,4,9,3.000,7,-122.021,37.919
1088852,4,9,3.000,15,-122.013,37.916
1088852,4,9,5.000,18,-122.040,37.928
1088852,4,9,5.000,19,-122.013,37.916
1119181,1,36,6.000,3,-122.666,38.425
1119181,1,36,3.000,11,-122.667,38.428
1119181,1,36,3.000,12,-122.666,38.425
1119181,1,36,1.000,15,-122.719,38.457
1119181,1,36,1.000,20,-122.666,38.425
1119181,2,42,6.000,3,-122.667,38.425
1119181,2,42,5.000,8,-122.714,38.441
1119181,2,42,5.000,17,-122.666,38.425
1119181,2,42,2.000,18,-122.660,38.418
1119181,2,42,2.000,18,-122.666,38.425
1119181,3,9,6.000,3,-122.666,38.425
1119181,3,9,1.000,8,-122.661,38.434
1119181,3,9,1.000,15,-122.666,38.425
1119181,3,9,2.000,18,-122.660,38.419
1119181,3,9,2.000,18,-122.666,38.425
1121448,1,24,6.000,3,-121.989,38.238
1121448,1,24,5.000,7,-121.273,38.599
1121448,1,24,5.000,18,-121.989,38.238
1121448,2,52,6.000,3,-121.989,38.238
1121448,2,52,5.000,8,-122.124,37.892
1121448,2,52,5.000,17,-122.018,38.242
1121448,2,52,5.000,17,-121.989,38.238
1121448,3,55,6.000,3,-121.989,38.238
